ID,Chinese,English,MathA,MathB,Society,Nature
10000421,2,12,12,null,15,null
10000574,13,2,15,null,15,null
10001015,7,15,3,null,4,null
10001075,8,10,9,null,12,null
10001271,15,14,14,null,9,null
10001648,11,14,15,null,15,null
10002073,13,11,10,null,7,null
10002240,14,12,3,null,6,null
10002479,11,5,9,null,14,null
10002576,12,4,4,null,12,null
10002732,13,11,9,null,1,null
10002859,14,10,2,null,15,null
10003004,13,2,4,null,5,null
10003031,2,14,5,null,13,null
10003076,10,7,13,null,3,null
10003151,12,14,1,null,6,null
10003167,14,11,3,null,15,null
10003360,13,2,14,null,2,null
10003615,12,11,12,null,5,null
10003700,10,12,2,null,14,null
10003841,5,5,3,null,4,null
10004248,4,2,15,null,7,null
10004367,3,15,7,null,6,null
10004375,15,3,6,null,2,null
10004710,14,15,11,null,14,null
10004943,7,6,5,null,14,null
10005172,15,14,14,null,14,null
10005192,14,5,5,null,14,null
10005672,10,13,15,null,13,null
10005829,14,2,15,null,2,null
10006033,9,15,15,null,10,null
10006047,15,14,14,null,4,null
10006294,8,9,15,null,7,null
10006654,4,6,3,null,13,null
10006829,13,2,2,null,14,null
10006935,12,2,13,null,4,null
10006969,1,12,14,null,14,null
10006982,2,5,10,null,11,null
10007049,12,12,10,null,5,null
10007229,2,12,4,null,8,null
10007313,14,3,3,null,9,null
10007329,13,1,15,null,13,null
10007377,15,14,10,null,10,null
10007717,12,9,4,null,4,null
10008181,9,13,8,null,12,null
10008666,14,14,13,null,2,null
10008710,3,5,1,null,10,null
10008899,2,13,14,null,1,null
10009066,8,4,12,null,14,null
10009218,14,10,12,null,7,null
10009265,8,3,12,null,4,null
10009450,8,15,5,null,4,null
10009888,11,4,14,null,13,null
10009899,14,11,5,null,2,null
10009909,15,2,8,null,13,null
10009997,13,12,4,null,15,null
10010018,14,2,12,null,10,null
10010429,13,12,2,null,5,null
10010477,4,2,4,null,12,null
10010691,9,11,15,null,4,null
10010714,13,11,3,null,1,null
10011051,8,1,15,null,14,null
10011387,3,14,8,null,15,null
10011483,6,13,15,null,2,null
10011641,15,10,4,null,12,null
10011817,7,14,13,null,2,null
10011926,14,13,5,null,13,null
10011967,4,7,13,null,15,null
10012143,15,12,12,null,14,null
10012234,8,10,4,null,14,null
10012312,4,4,12,null,12,null
10012520,4,14,14,null,11,null
10012720,10,2,1,null,10,null
10012822,4,12,2,null,7,null
10013004,3,13,15,null,11,null
10013059,4,1,8,null,13,null
10013102,12,14,5,null,1,null
10013340,13,13,15,null,13,null
10013415,12,11,10,null,3,null
10013633,5,9,14,null,3,null
10013819,14,9,15,null,10,null
10013947,5,15,14,null,15,null
10014004,4,8,12,null,5,null
10014043,9,10,13,null,12,null
10014269,15,11,13,null,12,null
10014326,15,13,11,null,15,null
10014339,14,3,12,null,11,null
10014378,3,5,12,null,8,null
10014598,7,8,4,null,14,null
10015349,8,15,15,null,15,null
10015467,13,9,3,null,15,null
10015535,5,12,1,null,10,null
10015879,12,8,13,null,15,null
10016199,4,15,12,null,14,null
10016248,6,2,2,null,13,null
10016366,1,1,9,null,13,null
10016516,12,15,2,null,12,null
10016647,15,1,12,null,13,null
10016781,3,4,11,null,3,null
10017096,9,3,12,null,15,null
10017281,3,12,4,null,3,null
10017363,3,9,11,null,2,null
10017501,15,15,8,null,14,null
10017686,5,12,6,null,1,null
10017897,2,12,4,null,10,null
10017951,14,15,2,null,3,null
10018065,1,15,4,null,15,null
10018076,15,3,4,null,5,null
10018098,4,12,13,null,5,null
10018137,12,14,1,null,5,null
10018144,8,8,7,null,9,null
10018422,12,4,8,null,14,null
10018470,15,14,14,null,2,null
10018669,15,13,14,null,13,null
10018932,10,7,5,null,7,null
10019203,13,11,6,null,10,null
10019402,14,2,1,null,5,null
10019632,15,7,3,null,3,null
10019682,1,13,14,null,11,null
10019814,1,14,13,null,14,null
10020345,15,6,3,null,3,null
10020347,14,7,5,null,9,null
10020494,11,2,12,null,12,null
10020780,5,3,4,null,3,null
10020915,15,10,3,null,12,null
10021378,12,2,4,null,13,null
10021678,12,9,13,null,12,null
10021827,7,2,12,null,10,null
10021923,6,12,11,null,3,null
10021977,8,7,5,null,8,null
10022137,4,15,14,null,10,null
10022148,12,14,9,null,2,null
10022170,15,7,3,null,13,null
10022311,13,5,3,null,13,null
10022365,14,2,10,null,11,null
10022959,12,2,4,null,14,null
10023058,15,15,4,null,15,null
10023113,5,12,10,null,14,null
10023514,1,15,4,null,15,null
10023557,4,8,5,null,10,null
10023673,14,15,15,null,15,null
10023836,11,6,12,null,11,null
10024119,10,4,2,null,2,null
10024301,12,1,4,null,3,null
10024334,7,8,12,null,4,null
10024361,2,7,15,null,12,null
10024906,1,2,2,null,3,null
10024939,15,13,12,null,2,null
10024998,2,4,13,null,4,null
10025171,14,13,6,null,4,null
10025469,2,8,3,null,14,null
10026814,15,2,12,null,1,null
10026996,2,13,8,null,12,null
10027165,14,12,3,null,4,null
10027298,5,5,4,null,13,null
10027375,6,14,14,null,2,null
10027408,11,10,2,null,10,null
10027477,9,3,13,null,2,null
10027584,2,14,12,null,14,null
10027596,14,2,8,null,15,null
10027642,2,13,1,null,10,null
10027692,2,3,11,null,15,null
10028408,11,2,15,null,3,null
10028685,5,13,6,null,3,null
10028913,14,10,7,null,14,null
10028954,2,12,5,null,15,null
10029023,1,15,7,null,2,null
10029024,7,15,3,null,13,null
10029943,9,8,5,null,8,null
10030178,14,7,12,null,14,null
10030596,9,4,2,null,10,null
10030613,2,1,15,null,1,null
10031092,1,10,3,null,14,null
10031180,12,15,15,null,4,null
10031196,13,13,9,null,15,null
10031224,15,9,4,null,11,null
10031262,15,2,3,null,10,null
10031498,5,14,15,null,12,null
10031570,2,12,4,null,4,null
10031902,12,10,8,null,3,null
10032248,8,5,4,null,11,null
10032390,10,2,9,null,14,null
10032514,13,11,11,null,12,null
10032827,9,10,15,null,10,null
10033398,9,12,13,null,14,null
10033514,5,4,8,null,11,null
10033572,2,11,12,null,3,null
10033617,15,15,1,null,4,null
10033881,12,2,10,null,3,null
10034121,12,13,1,null,13,null
10034296,11,9,14,null,4,null
10034457,11,12,2,null,12,null
10034587,10,11,12,null,14,null
10034773,14,15,12,null,11,null
10034863,15,9,1,null,3,null
10034976,9,13,14,null,14,null
10035254,5,12,14,null,13,null
10035363,13,5,10,null,10,null
10035411,9,15,15,null,15,null
10035449,15,15,6,null,14,null
10035892,8,14,5,null,9,null
10036305,4,9,11,null,2,null
10036338,10,9,14,null,2,null
10036631,15,13,10,null,9,null
10037084,7,1,12,null,10,null
10037108,1,3,13,null,13,null
10037164,14,10,10,null,4,null
10037253,2,6,9,null,14,null
10037494,14,3,2,null,11,null
10037941,11,15,11,null,5,null
10038040,14,14,14,null,15,null
10038134,8,9,15,null,13,null
10038182,14,9,5,null,9,null
10038336,9,14,2,null,10,null
10038508,2,1,14,null,1,null
10038670,1,12,12,null,14,null
10038747,14,12,13,null,13,null
10039157,14,12,10,null,2,null
10039178,14,9,5,null,4,null
10039189,2,3,1,null,5,null
10039468,9,4,14,null,7,null
10039503,15,2,1,null,12,null
10039617,8,15,6,null,11,null
10039783,15,1,12,null,4,null
10040235,1,14,4,null,1,null
10040345,13,5,15,null,14,null
10040523,13,8,12,null,5,null
10040526,10,9,9,null,1,null
10040590,5,11,3,null,10,null
10040948,10,13,1,null,14,null
10041221,15,4,13,null,14,null
10041462,13,6,1,null,3,null
10041595,14,7,11,null,12,null
10041760,14,12,10,null,12,null
10041878,14,2,5,null,15,null
10042107,2,2,10,null,14,null
10042205,1,5,9,null,9,null
10042207,15,8,9,null,5,null
10042290,14,15,12,null,3,null
10042305,9,14,11,null,11,null
10042316,2,12,14,null,14,null
10042443,4,9,15,null,15,null
10042564,15,12,2,null,1,null
10042603,10,1,8,null,15,null
10043101,7,12,15,null,3,null
10043130,9,3,14,null,8,null
10043140,7,4,2,null,11,null
10043206,1,14,5,null,9,null
10043677,10,11,6,null,15,null
10043760,12,3,14,null,11,null
10044473,9,4,7,null,14,null
10044962,12,8,8,null,9,null
10045056,14,14,4,null,14,null
10045548,12,12,13,null,11,null
10045769,10,14,3,null,14,null
10045788,13,5,2,null,3,null
10046025,12,5,4,null,12,null
10046067,7,1,11,null,12,null
10046232,12,15,15,null,15,null
10046256,11,12,15,null,3,null
10047715,11,14,15,null,1,null
10047864,3,3,12,null,6,null
10048249,15,12,2,null,14,null
10048332,3,11,4,null,2,null
10048375,1,1,14,null,4,null
10048664,3,2,15,null,2,null
10048674,2,8,15,null,12,null
10048788,2,5,1,null,12,null
10048789,11,5,1,null,14,null
10048793,2,3,12,null,15,null
10048803,11,7,14,null,5,null
10048898,10,12,14,null,14,null
10048987,15,14,2,null,15,null
10048989,14,14,11,null,10,null
10049348,13,14,1,null,1,null
10049779,12,14,9,null,12,null
10049800,2,15,10,null,13,null
10049906,12,15,14,null,13,null
10050055,4,14,4,null,2,null
10050351,15,1,12,null,15,null
10050410,8,4,12,null,13,null
10050413,5,2,15,null,3,null
10050682,7,2,7,null,4,null
10050714,1,7,13,null,12,null
10050745,2,5,12,null,10,null
10050806,5,13,4,null,11,null
10050961,8,5,14,null,1,null
10051030,13,13,15,null,12,null
10051431,13,14,4,null,1,null
10052080,5,12,14,null,15,null
10052121,4,4,11,null,4,null
10052502,15,14,8,null,14,null
10052560,13,2,15,null,4,null
10052834,4,13,9,null,2,null
10053044,12,5,2,null,6,null
10053162,14,11,9,null,13,null
10053480,13,3,12,null,15,null
10053661,9,13,10,null,3,null
10053881,14,10,14,null,9,null
10053893,13,15,1,null,1,null
10053986,10,12,5,null,12,null
10054016,10,5,5,null,4,null
10054338,13,10,10,null,5,null
10054814,5,11,14,null,12,null
10055030,13,14,10,null,13,null
10055127,14,12,14,null,4,null
10055436,12,9,15,null,4,null
10055708,2,15,9,null,5,null
10055752,13,4,12,null,14,null
10055932,2,10,12,null,14,null
10056126,14,7,8,null,1,null
10056167,7,14,12,null,5,null
10056267,14,7,4,null,11,null
10056939,14,15,4,null,2,null
10056995,14,14,14,null,9,null
10057467,9,14,1,null,12,null
10058254,11,1,15,null,14,null
10058353,4,14,12,null,13,null
10058585,10,4,1,null,2,null
10058592,14,3,14,null,11,null
10058656,5,13,12,null,15,null
10058730,3,7,2,null,11,null
10058854,3,12,7,null,15,null
10058936,3,11,11,null,2,null
10059084,7,14,8,null,5,null
10059330,14,10,1,null,12,null
10059364,13,6,6,null,11,null
10059406,11,8,4,null,14,null
10059485,13,3,14,null,13,null
10059547,13,9,3,null,12,null
10059671,4,8,13,null,13,null
10059969,1,13,5,null,12,null
10060042,3,8,14,null,11,null
10060090,13,15,11,null,12,null
10060449,5,15,14,null,2,null
10060909,12,10,14,null,11,null
10061127,14,8,3,null,8,null
10061344,2,1,14,null,2,null
10061579,12,14,15,null,9,null
10061692,14,7,13,null,12,null
10061714,4,3,8,null,4,null
10061829,5,14,1,null,2,null
10061933,13,15,2,null,2,null
10062026,3,12,15,null,13,null
10062044,10,14,5,null,3,null
10062115,4,11,4,null,13,null
10062221,13,10,2,null,14,null
10062323,8,2,4,null,13,null
10062821,4,13,7,null,14,null
10063117,2,2,15,null,9,null
10063227,12,3,7,null,14,null
10063257,4,9,13,null,4,null
10063555,1,14,12,null,4,null
10063855,15,2,14,null,5,null
10064049,14,12,14,null,9,null
10064227,2,10,15,null,10,null
10064808,2,10,8,null,1,null
10064843,14,5,4,null,2,null
10064909,15,14,15,null,13,null
10065195,4,11,9,null,2,null
